,std_MP_median,freq_p_change,control_cum_log_price_lag1,control_cum_log_price_lag2,control_cum_log_price_lag3,control_cum_log_price_lag4,std_MP_median_lag1,std_MP_median_lag2,std_MP_median_lag3,std_MP_median_lag4,std_MP_median_avg_upstreamness,avg_upstreamness
0,-9.80234212004508e-05,0.13085813934247859,-0.21381887372813538,-0.13396435124154932,-0.11002176060827835,-0.030883713615968793,-0.0018873790271750782,-0.004216841274047706,-0.0036285989139303444,-0.0006597657240328358,0.00011191076242241762,-0.0007987582628303932
1,-0.0029711182831269767,0.22124014920924956,-0.3258801110261483,-0.236481064379648,-0.15058991189684526,-0.07852784658784398,-0.006537097611144278,-0.006578737797534959,-0.003064972617672582,-0.0015352421722583378,6.706533638789449e-05,-0.0014821610902904946
2,-0.005698255951148385,0.22899218215197462,-0.4323978919721763,-0.263971592317898,-0.1849984282922411,-0.08669266248443022,-0.01039252763528744,-0.006897809866223482,-0.004269282575941245,-0.0008563817009336507,-0.00034764764782485715,-0.0023558126754067337
3,-0.008935089821790539,0.2288283911470056,-0.37429411318352424,-0.24461141349712529,-0.21591548541314134,-0.1568769752111526,-0.012408861830606022,-0.008451724488050516,-0.0022412562779898443,0.0005061726763161482,-0.00020537073814463176,-0.003009429522940066
4,-0.010762274691148373,0.22486906193470393,-0.3676679100953019,-0.2774100055258,-0.25873237736604654,-0.16952689703513013,-0.015178208632433108,-0.008168824077285457,-0.00030386313985944567,0.0049828415707432955,7.626652503841139e-05,-0.0033746723636634227
5,-0.012340349651104187,0.1865949395219495,-0.40208926669226835,-0.2853434764163674,-0.2744854049048007,-0.16582401903635788,-0.015075880399336019,-0.007389713413186637,0.00423412534388756,0.009083119225554362,-0.0001114916671940609,-0.003574451681597946
6,-0.010763646021134231,0.11660757937260992,-0.32750312297929957,-0.30272682326682393,-0.2871940488246274,-0.18882440731803463,-0.014106940697756986,-0.0033157468373825457,0.009227236866951058,0.008645613470815654,-0.00012154261919252577,-0.003450644961714494
7,-0.012373162061967695,0.095612918895705,-0.38027166198072604,-0.3431168771369225,-0.3216782364680322,-0.18752632085798618,-0.010203841893914021,0.0023589194870410335,0.008641255318220173,0.008043270038941175,0.0005698212713977614,-0.003098571285116507
8,-0.009742218732425985,0.07578806523164186,-0.38605827661083714,-0.37808355799572313,-0.3406377282966932,-0.215066945632174,-0.005775050094899794,0.0016339219627897533,0.008476339938907696,0.00992734189067297,0.0012625085840857683,-0.002675842677753112
9,-0.004430517573471116,0.039215374324716876,-0.45873228026326085,-0.380753966371517,-0.35744437255076134,-0.2137144681284892,-0.0014707008459002894,0.0020320935722759064,0.009524020491333676,0.009622693243055565,0.0008564865936311294,-0.0016779930780838075
10,-0.0024535168551191996,-0.014193318398594402,-0.4483687393328866,-0.3864358518353049,-0.35513444031751695,-0.2192869069312784,0.0016063692842102945,0.004807590004773107,0.008260505802640285,0.006159970678129946,0.0012968780026280193,-0.0011612775238776802
11,-0.002160162495453108,-0.015842999177233984,-0.42330224455417764,-0.3737150981956448,-0.37034104297138715,-0.24180765612679372,0.005884896762757602,0.003999397348968002,0.0043567660144020045,0.005717436650953419,0.002255534268879351,-0.0008953486072787601
12,0.0003712760466103851,-0.033027437695702835,-0.4361230143090915,-0.39908349491877254,-0.4072615134807382,-0.27786373805830866,0.00476139956888384,0.00023263818164250325,0.004796235144718197,0.006012315043546324,0.0025975228817741985,8.249472125645151e-05
