,std_MP_median_h0,std_MP_median_h1,std_MP_median_h2,std_MP_median_h3,std_MP_median_h4,std_MP_median_h5,std_MP_median_h6,std_MP_median_h7,std_MP_median_h8,std_MP_median_h9,std_MP_median_h10,std_MP_median_h11,std_MP_median_h12,std_MP_median_avg_upstreamness_h0,std_MP_median_avg_upstreamness_h1,std_MP_median_avg_upstreamness_h2,std_MP_median_avg_upstreamness_h3,std_MP_median_avg_upstreamness_h4,std_MP_median_avg_upstreamness_h5,std_MP_median_avg_upstreamness_h6,std_MP_median_avg_upstreamness_h7,std_MP_median_avg_upstreamness_h8,std_MP_median_avg_upstreamness_h9,std_MP_median_avg_upstreamness_h10,std_MP_median_avg_upstreamness_h11,std_MP_median_avg_upstreamness_h12
std_MP_median_h0,1.080438835629818e-06,,,,,,,,,,,,,2.4675013483861223e-08,,,,,,,,,,,,
std_MP_median_h1,,3.168508246487728e-06,,,,,,,,,,,,,-2.7491005452961545e-07,,,,,,,,,,,
std_MP_median_h2,,,5.6897919669949605e-06,,,,,,,,,,,,,-2.195783683977436e-07,,,,,,,,,,
std_MP_median_h3,,,,7.499020161294852e-06,,,,,,,,,,,,,-2.397940646368606e-07,,,,,,,,,
std_MP_median_h4,,,,,8.831970311594308e-06,,,,,,,,,,,,,-5.560005241658684e-07,,,,,,,,
std_MP_median_h5,,,,,,1.6199632237567657e-05,,,,,,,,,,,,,-1.5347666386862273e-06,,,,,,,
std_MP_median_h6,,,,,,,2.3172771571043077e-05,,,,,,,,,,,,,-2.6514571934834347e-06,,,,,,
std_MP_median_h7,,,,,,,,3.2740313977403486e-05,,,,,,,,,,,,,-4.035084427066263e-06,,,,,
std_MP_median_h8,,,,,,,,,5.413025597032517e-05,,,,,,,,,,,,,-6.615804175900688e-06,,,,
std_MP_median_h9,,,,,,,,,,7.213673820899487e-05,,,,,,,,,,,,,-9.365676839501959e-06,,,
std_MP_median_h10,,,,,,,,,,,6.487237177300351e-05,,,,,,,,,,,,,-7.814436568788548e-06,,
std_MP_median_h11,,,,,,,,,,,,5.00085381638938e-05,,,,,,,,,,,,,-6.305179388321759e-06,
std_MP_median_h12,,,,,,,,,,,,,5.176597009339555e-05,,,,,,,,,,,,,-5.148971612508069e-06
std_MP_median_avg_upstreamness_h0,2.4675013483861968e-08,,,,,,,,,,,,,2.7859282418286322e-08,,,,,,,,,,,,
std_MP_median_avg_upstreamness_h1,,-2.749100545296147e-07,,,,,,,,,,,,,1.0530063718407255e-07,,,,,,,,,,,
std_MP_median_avg_upstreamness_h2,,,-2.1957836839774306e-07,,,,,,,,,,,,,1.3521153241956467e-07,,,,,,,,,,
std_MP_median_avg_upstreamness_h3,,,,-2.397940646368603e-07,,,,,,,,,,,,,9.584458389736525e-08,,,,,,,,,
std_MP_median_avg_upstreamness_h4,,,,,-5.560005241658687e-07,,,,,,,,,,,,,1.8670169590707774e-07,,,,,,,,
std_MP_median_avg_upstreamness_h5,,,,,,-1.5347666386862263e-06,,,,,,,,,,,,,3.840769338204894e-07,,,,,,,
std_MP_median_avg_upstreamness_h6,,,,,,,-2.651457193483441e-06,,,,,,,,,,,,,6.800717188241493e-07,,,,,,
std_MP_median_avg_upstreamness_h7,,,,,,,,-4.035084427066273e-06,,,,,,,,,,,,,9.273577114359974e-07,,,,,
std_MP_median_avg_upstreamness_h8,,,,,,,,,-6.615804175900681e-06,,,,,,,,,,,,,1.4630558967963576e-06,,,,
std_MP_median_avg_upstreamness_h9,,,,,,,,,,-9.365676839501959e-06,,,,,,,,,,,,,1.9726919790627935e-06,,,
std_MP_median_avg_upstreamness_h10,,,,,,,,,,,-7.81443656878853e-06,,,,,,,,,,,,,2.1010011696692524e-06,,
std_MP_median_avg_upstreamness_h11,,,,,,,,,,,,-6.305179388321781e-06,,,,,,,,,,,,,2.154435458177376e-06,
std_MP_median_avg_upstreamness_h12,,,,,,,,,,,,,-5.1489716125080945e-06,,,,,,,,,,,,,2.075943142982843e-06
